City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Cabo San Lucas,MX,80.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
12,Esmeraldas,BR,81.46,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
13,Rikitea,PF,76.32,scattered clouds,-23.1203,-134.9692,People ThankYou
18,Sabang,ID,81.77,broken clouds,5.8933,95.3214,Hotel Citra
19,Beberibe,BR,82.44,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
22,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
23,Waingapu,ID,81.14,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
25,Yaring,TH,76.64,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
34,Butaritari,KI,82.9,broken clouds,3.0707,172.7902,Isles Sunset Lodge
36,Vao,NC,78.42,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
39,Maragogi,BR,79.45,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
40,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Santa Cruz,BO,89.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
55,Fomboni,KM,80.89,clear sky,-12.28,43.7425,Auberge les abou
63,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
65,East London,ZA,76.77,overcast clouds,-33.0153,27.9116,Tu Casa
69,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Samarai,PG,84.88,broken clouds,-10.6167,150.6667,Nuli Sapi
77,Matamoros,MX,81.1,overcast clouds,25.5333,-103.25,Quinta Belem
78,Alofi,NU,82.29,moderate rain,-19.0595,-169.9187,Taloa Heights
82,Makokou,GA,75.2,overcast clouds,0.5738,12.8642,Motel des voyageurs
84,Atuona,PF,78.44,scattered clouds,-9.8,-139.0333,Villa Enata
94,Hithadhoo,MV,80.73,broken clouds,-0.6,73.0833,Scoop Guest House
99,Xaxim,BR,82.78,clear sky,-26.9617,-52.5347,Hotel São Luiz
100,Vaitape,PF,81.36,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
101,Sarangani,PH,82.94,overcast clouds,5.4033,125.4636,Ballistic Islet
106,Atambua,ID,78.75,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
115,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
119,Umm Lajj,SA,76.64,broken clouds,25.0213,37.2685,Moon light Furnished Units
126,Acapulco,MX,82.4,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
129,Sabancuy,MX,82.15,clear sky,18.9667,-91.1833,pulpo
130,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
131,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,Casa Tia Villa
135,Key West,US,80.01,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
137,Porto Velho,BR,75.25,light rain,-8.7619,-63.9039,Hotel Central
140,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
141,Port Blair,IN,79.11,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
146,Kavieng,PG,81.95,light rain,-2.5744,150.7967,Nusa Island Retreat
147,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
148,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
149,Ahuimanu,US,78.51,light rain,21.4447,-157.8378,Paradise Bay Resort
152,Liku,ID,77.29,overcast clouds,-0.7275,119.8922,Wahyu
157,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
